"","Country","Year","Gas","Unit","EU","rank","Sector","Emissions"
"117","Austria",1873,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",10.8
"118","Austria",1873,"CO2","MtCO₂e",1,7,"Energy",10.5
"119","Austria",1873,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"120","Austria",1873,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.34
"121","Austria",1874,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"122","Austria",1874,"CO2","MtCO₂e",1,7,"Energy",8.92
"123","Austria",1874,"CO2","MtCO₂e",1,7,"Waste",0
"124","Austria",1874,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",9.22
"125","Austria",1874,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.29
"126","Austria",1875,"CO2","MtCO₂e",1,7,"Waste",0
"127","Austria",1875,"CO2","MtCO₂e",1,7,"Energy",7.66
"128","Austria",1875,"CO2","MtCO₂e",1,7,"Agriculture",0.01
"129","Austria",1875,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",7.92
"130","Austria",1875,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.25
"131","Austria",1876,"CO2","MtCO₂e",1,8,"Agriculture",0.01
"132","Austria",1876,"CO2","MtCO₂e",1,8,"Waste",0
"133","Austria",1876,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",8.15
"134","Austria",1876,"CO2","MtCO₂e",1,8,"Energy",7.88
"135","Austria",1876,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.25
"136","Austria",1877,"CO2","MtCO₂e",1,8,"Waste",0
"137","Austria",1877,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",7.34
"138","Austria",1877,"CO2","MtCO₂e",1,8,"Agriculture",0.01
"139","Austria",1877,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.23
"140","Austria",1877,"CO2","MtCO₂e",1,8,"Energy",7.1
"141","Austria",1878,"CO2","MtCO₂e",1,8,"Waste",0
"142","Austria",1878,"CO2","MtCO₂e",1,8,"Energy",7.06
"143","Austria",1878,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.23
"144","Austria",1878,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",7.3
"145","Austria",1878,"CO2","MtCO₂e",1,8,"Agriculture",0.01
"146","Austria",1879,"CO2","MtCO₂e",1,8,"Energy",8.64
"147","Austria",1879,"CO2","MtCO₂e",1,8,"Agriculture",0.01
"148","Austria",1879,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",8.93
"149","Austria",1879,"CO2","MtCO₂e",1,8,"Waste",0
"150","Austria",1879,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.28
"151","Austria",1880,"CO2","MtCO₂e",1,7,"Energy",23
"152","Austria",1880,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.74
"153","Austria",1880,"CO2","MtCO₂e",1,7,"Agriculture",0.03
"154","Austria",1880,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",23.8
"155","Austria",1880,"CO2","MtCO₂e",1,7,"Waste",0.01
"156","Austria",1881,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",10.4
"157","Austria",1881,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.32
"158","Austria",1881,"CO2","MtCO₂e",1,8,"Waste",0.01
"159","Austria",1881,"CO2","MtCO₂e",1,8,"Energy",10.1
"160","Austria",1881,"CO2","MtCO₂e",1,8,"Agriculture",0.01
"161","Austria",1882,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.33
"162","Austria",1882,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",10.7
"163","Austria",1882,"CO2","MtCO₂e",1,8,"Agriculture",0.01
"164","Austria",1882,"CO2","MtCO₂e",1,8,"Waste",0.01
"165","Austria",1882,"CO2","MtCO₂e",1,8,"Energy",10.3
"166","Austria",1883,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",11.9
"167","Austria",1883,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.37
"168","Austria",1883,"CO2","MtCO₂e",1,8,"Waste",0.01
"169","Austria",1883,"CO2","MtCO₂e",1,8,"Energy",11.5
"170","Austria",1883,"CO2","MtCO₂e",1,8,"Agriculture",0.01
"171","Austria",1884,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",11.5
"172","Austria",1884,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.36
"173","Austria",1884,"CO2","MtCO₂e",1,8,"Waste",0.01
"174","Austria",1884,"CO2","MtCO₂e",1,8,"Agriculture",0.01
"175","Austria",1884,"CO2","MtCO₂e",1,8,"Energy",11.2
"176","Austria",1885,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.38
"177","Austria",1885,"CO2","MtCO₂e",1,8,"Agriculture",0.01
"178","Austria",1885,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",12.1
"179","Austria",1885,"CO2","MtCO₂e",1,8,"Waste",0.01
"180","Austria",1885,"CO2","MtCO₂e",1,8,"Energy",11.7
"181","Austria",1886,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.36
"182","Austria",1886,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",11.5
"183","Austria",1886,"CO2","MtCO₂e",1,9,"Agriculture",0.01
"184","Austria",1886,"CO2","MtCO₂e",1,9,"Energy",11.1
"185","Austria",1886,"CO2","MtCO₂e",1,9,"Waste",0.01
"186","Austria",1887,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.39
"187","Austria",1887,"CO2","MtCO₂e",1,9,"Waste",0.01
"188","Austria",1887,"CO2","MtCO₂e",1,9,"Energy",11.9
"189","Austria",1887,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",12.3
"190","Austria",1887,"CO2","MtCO₂e",1,9,"Agriculture",0.01
"191","Austria",1889,"CO2","MtCO₂e",1,9,"Agriculture",0.01
"192","Austria",1889,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.4
"193","Austria",1889,"CO2","MtCO₂e",1,9,"Waste",0.01
"194","Austria",1889,"CO2","MtCO₂e",1,9,"Energy",12.5
"195","Austria",1889,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",13
"196","Austria",1890,"CO2","MtCO₂e",1,10,"Total excluding LULUCF",13.2
"197","Austria",1890,"CO2","MtCO₂e",1,10,"Waste",0.01
"198","Austria",1890,"CO2","MtCO₂e",1,10,"Energy",12.7
"199","Austria",1890,"CO2","MtCO₂e",1,10,"Industrial Processes and Product Use",0.42
"200","Austria",1890,"CO2","MtCO₂e",1,10,"Agriculture",0.02
"201","Austria",1891,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",15
"202","Austria",1891,"CO2","MtCO₂e",1,9,"Energy",14.6
"203","Austria",1891,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.42
"204","Austria",1891,"CO2","MtCO₂e",1,9,"Waste",0.01
"205","Austria",1891,"CO2","MtCO₂e",1,9,"Agriculture",0.02
"206","Austria",1892,"CO2","MtCO₂e",1,9,"Waste",0.01
"207","Austria",1892,"CO2","MtCO₂e",1,9,"Energy",14.1
"208","Austria",1892,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.42
"209","Austria",1892,"CO2","MtCO₂e",1,9,"Agriculture",0.02
"210","Austria",1892,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",14.5
"211","Austria",1893,"CO2","MtCO₂e",1,9,"Agriculture",0.02
"212","Austria",1893,"CO2","MtCO₂e",1,9,"Waste",0.01
"213","Austria",1893,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",17.7
"214","Austria",1893,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.43
"215","Austria",1893,"CO2","MtCO₂e",1,9,"Energy",17.3
"216","Austria",1894,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",18.1
"217","Austria",1894,"CO2","MtCO₂e",1,9,"Agriculture",0.02
"218","Austria",1894,"CO2","MtCO₂e",1,9,"Waste",0.01
"219","Austria",1894,"CO2","MtCO₂e",1,9,"Energy",17.7
"220","Austria",1894,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.43
"221","Austria",1895,"CO2","MtCO₂e",1,9,"Agriculture",0.02
"222","Austria",1895,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",20.3
"223","Austria",1895,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.43
"224","Austria",1895,"CO2","MtCO₂e",1,9,"Waste",0.01
"225","Austria",1895,"CO2","MtCO₂e",1,9,"Energy",19.9
"226","Austria",1896,"CO2","MtCO₂e",1,9,"Waste",0.01
"227","Austria",1896,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",21.2
"228","Austria",1896,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.43
"229","Austria",1896,"CO2","MtCO₂e",1,9,"Agriculture",0.02
"230","Austria",1896,"CO2","MtCO₂e",1,9,"Energy",20.8
"231","Austria",1897,"CO2","MtCO₂e",1,9,"Agriculture",0.03
"232","Austria",1897,"CO2","MtCO₂e",1,9,"Waste",0.01
"233","Austria",1897,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",22.9
"234","Austria",1897,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.43
"235","Austria",1897,"CO2","MtCO₂e",1,9,"Energy",22.4
"236","Austria",1898,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",24.3
"237","Austria",1898,"CO2","MtCO₂e",1,9,"Agriculture",0.03
"238","Austria",1898,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.43
"239","Austria",1898,"CO2","MtCO₂e",1,9,"Energy",23.8
"240","Austria",1898,"CO2","MtCO₂e",1,9,"Waste",0.01
"241","Austria",1899,"CO2","MtCO₂e",1,9,"Waste",0.01
"242","Austria",1899,"CO2","MtCO₂e",1,9,"Agriculture",0.03
"243","Austria",1899,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.44
"244","Austria",1899,"CO2","MtCO₂e",1,9,"Energy",24.2
"245","Austria",1899,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",24.7
"246","Austria",1900,"CO2","MtCO₂e",1,9,"Agriculture",0.03
"247","Austria",1900,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.44
"248","Austria",1900,"CO2","MtCO₂e",1,9,"Waste",0.01
"249","Austria",1900,"CO2","MtCO₂e",1,9,"Energy",27
"250","Austria",1900,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",27.5
"251","Austria",1901,"CO2","MtCO₂e",1,9,"Waste",0.02
"252","Austria",1901,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",28.1
"253","Austria",1901,"CO2","MtCO₂e",1,9,"Agriculture",0.03
"254","Austria",1901,"CO2","MtCO₂e",1,9,"Energy",27.6
"255","Austria",1901,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.44
"256","Austria",1902,"CO2","MtCO₂e",1,10,"Waste",0.01
"257","Austria",1902,"CO2","MtCO₂e",1,10,"Energy",25
"258","Austria",1902,"CO2","MtCO₂e",1,10,"Total excluding LULUCF",25.5
"259","Austria",1902,"CO2","MtCO₂e",1,10,"Agriculture",0.03
"260","Austria",1902,"CO2","MtCO₂e",1,10,"Industrial Processes and Product Use",0.44
"261","Austria",1907,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.46
"262","Austria",1907,"CO2","MtCO₂e",1,9,"Agriculture",0.05
"263","Austria",1907,"CO2","MtCO₂e",1,9,"Waste",0.02
"264","Austria",1907,"CO2","MtCO₂e",1,9,"Energy",41.6
"265","Austria",1907,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",42.2
"266","Austria",1908,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.46
"267","Austria",1908,"CO2","MtCO₂e",1,7,"Energy",58.5
"268","Austria",1908,"CO2","MtCO₂e",1,7,"Waste",0.03
"269","Austria",1908,"CO2","MtCO₂e",1,7,"Agriculture",0.07
"270","Austria",1908,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",59.1
"271","Austria",1909,"CO2","MtCO₂e",1,8,"Agriculture",0.05
"272","Austria",1909,"CO2","MtCO₂e",1,8,"Total excluding LULUCF",43.1
"273","Austria",1909,"CO2","MtCO₂e",1,8,"Waste",0.02
"274","Austria",1909,"CO2","MtCO₂e",1,8,"Energy",42.5
"275","Austria",1909,"CO2","MtCO₂e",1,8,"Industrial Processes and Product Use",0.46
"276","Austria",1910,"CO2","MtCO₂e",1,7,"Industrial Processes and Product Use",0.47
"277","Austria",1910,"CO2","MtCO₂e",1,7,"Energy",57.3
"278","Austria",1910,"CO2","MtCO₂e",1,7,"Total excluding LULUCF",57.9
"279","Austria",1910,"CO2","MtCO₂e",1,7,"Waste",0.03
"280","Austria",1910,"CO2","MtCO₂e",1,7,"Agriculture",0.07
"281","Austria",1911,"CO2","MtCO₂e",1,9,"Waste",0.03
"282","Austria",1911,"CO2","MtCO₂e",1,9,"Agriculture",0.06
"283","Austria",1911,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.47
"284","Austria",1911,"CO2","MtCO₂e",1,9,"Energy",47.9
"285","Austria",1911,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",48.5
"286","Austria",1912,"CO2","MtCO₂e",1,10,"Waste",0.03
"287","Austria",1912,"CO2","MtCO₂e",1,10,"Energy",50.4
"288","Austria",1912,"CO2","MtCO₂e",1,10,"Industrial Processes and Product Use",0.48
"289","Austria",1912,"CO2","MtCO₂e",1,10,"Total excluding LULUCF",51
"290","Austria",1912,"CO2","MtCO₂e",1,10,"Agriculture",0.06
"291","Austria",1913,"CO2","MtCO₂e",1,9,"Waste",0.03
"292","Austria",1913,"CO2","MtCO₂e",1,9,"Energy",59.4
"293","Austria",1913,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.48
"294","Austria",1913,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",60
"295","Austria",1913,"CO2","MtCO₂e",1,9,"Agriculture",0.07
"296","Austria",1914,"CO2","MtCO₂e",1,9,"Waste",0.03
"297","Austria",1914,"CO2","MtCO₂e",1,9,"Energy",48.4
"298","Austria",1914,"CO2","MtCO₂e",1,9,"Agriculture",0.06
"299","Austria",1914,"CO2","MtCO₂e",1,9,"Total excluding LULUCF",49
"300","Austria",1914,"CO2","MtCO₂e",1,9,"Industrial Processes and Product Use",0.49
"301","Belgium",1850,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",0.7
"302","Belgium",1850,"CO2","MtCO₂e",1,5,"Energy",9.07
"303","Belgium",1850,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",9.8
"304","Belgium",1850,"CO2","MtCO₂e",1,5,"Waste",0.01
"305","Belgium",1850,"CO2","MtCO₂e",1,5,"Agriculture",0.04
"306","Belgium",1851,"CO2","MtCO₂e",1,5,"Energy",9.88
"307","Belgium",1851,"CO2","MtCO₂e",1,5,"Waste",0.01
"308","Belgium",1851,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",0.76
"309","Belgium",1851,"CO2","MtCO₂e",1,5,"Agriculture",0.04
"310","Belgium",1851,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",10.7
"311","Belgium",1852,"CO2","MtCO₂e",1,5,"Waste",0.01
"312","Belgium",1852,"CO2","MtCO₂e",1,5,"Energy",11.1
"313","Belgium",1852,"CO2","MtCO₂e",1,5,"Agriculture",0.04
"314","Belgium",1852,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",12
"315","Belgium",1852,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",0.85
"316","Belgium",1853,"CO2","MtCO₂e",1,5,"Agriculture",0.04
"317","Belgium",1853,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",0.88
"318","Belgium",1853,"CO2","MtCO₂e",1,5,"Energy",11.5
"319","Belgium",1853,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",12.4
"320","Belgium",1853,"CO2","MtCO₂e",1,5,"Waste",0.01
"321","Belgium",1854,"CO2","MtCO₂e",1,5,"Energy",12.7
"322","Belgium",1854,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",0.98
"323","Belgium",1854,"CO2","MtCO₂e",1,5,"Waste",0.01
"324","Belgium",1854,"CO2","MtCO₂e",1,5,"Agriculture",0.05
"325","Belgium",1854,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",13.7
"326","Belgium",1855,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",1
"327","Belgium",1855,"CO2","MtCO₂e",1,5,"Energy",13
"328","Belgium",1855,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",14.1
"329","Belgium",1855,"CO2","MtCO₂e",1,5,"Waste",0.01
"330","Belgium",1855,"CO2","MtCO₂e",1,5,"Agriculture",0.05
"331","Belgium",1856,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",0.99
"332","Belgium",1856,"CO2","MtCO₂e",1,5,"Waste",0.01
"333","Belgium",1856,"CO2","MtCO₂e",1,5,"Energy",12.8
"334","Belgium",1856,"CO2","MtCO₂e",1,5,"Agriculture",0.05
"335","Belgium",1856,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",13.9
"336","Belgium",1857,"CO2","MtCO₂e",1,5,"Agriculture",0.05
"337","Belgium",1857,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",1.03
"338","Belgium",1857,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",14.5
"339","Belgium",1857,"CO2","MtCO₂e",1,5,"Waste",0.01
"340","Belgium",1857,"CO2","MtCO₂e",1,5,"Energy",13.4
"341","Belgium",1858,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",1.08
"342","Belgium",1858,"CO2","MtCO₂e",1,5,"Waste",0.01
"343","Belgium",1858,"CO2","MtCO₂e",1,5,"Agriculture",0.05
"344","Belgium",1858,"CO2","MtCO₂e",1,5,"Energy",14
"345","Belgium",1858,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",15.2
"346","Belgium",1859,"CO2","MtCO₂e",1,5,"Agriculture",0.06
"347","Belgium",1859,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",1.11
"348","Belgium",1859,"CO2","MtCO₂e",1,5,"Waste",0.01
"349","Belgium",1859,"CO2","MtCO₂e",1,5,"Total excluding LULUCF",15.7
"350","Belgium",1859,"CO2","MtCO₂e",1,5,"Energy",14.5
"351","Belgium",1860,"CO2","MtCO₂e",1,5,"Industrial Processes and Product Use",1.14
"352","Belgium",1860,"CO2","MtCO₂e",1,5,"Waste",0.01
